,menuName,status_id,date_created,time_created,date_modified,Created_By
0,testing,0,2021-05-20,08:23:26,2021-05-20,instructsme@gmail.com
1,ssssssdssf,1,2021-05-18,10:19:30,2021-05-18,instructsme@gmail.com
2,adminmenus,1,2021-05-18,10:20:39,2021-05-18,instructsme@gmail.com
3,adminmenuapproval,1,2021-04-13,10:56:05,2021-05-18,instructsme@gmail.com
4,adminnewmenu,1,2021-05-18,08:13:27,2021-05-18,instructsme@gmail.com
5,ssssssdss,1,2021-05-18,08:31:58,2021-05-19,instructsme@gmail.com
6,ssssssdss,1,2021-05-18,08:50:15,2021-05-19,instructsme@gmail.com
7,dashboard,0,2021-04-13,10:56:05,2021-05-19,instructsme@gmail.com
8,ssssssd,0,2021-05-18,10:06:53,2021-05-19,instructsme@gmail.com
9,adminmenus,1,2021-04-13,10:56:05,2021-05-19,instructsme@gmail.com
10,adminmenuaccess,1,2021-04-13,10:56:05,2021-05-19,instructsme@gmail.com
