item,Year,Value
Cassava,1961,82331
Cassava,1962,80606
Cassava,1963,84022
Cassava,1964,86381
Cassava,1965,78658
Cassava,1966,69588
Cassava,1967,71787
Cassava,1968,73731
Cassava,1969,71670
Cassava,1970,74733
Cassava,1971,68218
Cassava,1972,51137
Cassava,1973,65580
Cassava,1974,64213
Cassava,1975,50312
Cassava,1976,89727
Cassava,1977,86860
Cassava,1978,78527
Cassava,1979,80049
Cassava,1980,77143
Cassava,1981,72346
Cassava,1982,65223
Cassava,1983,66000
Cassava,1984,94000
Cassava,1985,98000
Cassava,1986,76538
Cassava,1987,75472
Cassava,1988,81818
Cassava,1989,84211
Cassava,1990,88688
Cassava,1991,97154
Cassava,1992,109000
Cassava,1993,116500
Cassava,1994,118909
Cassava,1995,129500
Cassava,1996,129865
Cassava,1997,150581
Cassava,1998,159723
Cassava,1999,181890
Cassava,2000,232169
Cassava,2001,210273
Cassava,2002,202833
Cassava,2003,178971
Cassava,2004,168413
Cassava,2005,159467
Cassava,2006,162588
Cassava,2007,151563
Cassava,2008,138791
Cassava,2009,159918
Cassava,2010,217784
Cassava,2011,107514
Cassava,2012,160606
Cassava,2013,199719
Cassava,2014,200119
Cassava,2015,235354
Cassava,2016,233678
Maize,1961,7496
Maize,1962,7332
Maize,1963,6795
Maize,1964,7863
Maize,1965,6113
Maize,1966,6340
Maize,1967,5756
Maize,1968,4963
Maize,1969,5423
Maize,1970,5843
Maize,1971,6713
Maize,1972,6319
Maize,1973,4947
Maize,1974,6126
Maize,1975,4625
Maize,1976,7532
Maize,1977,7273
Maize,1978,7982
Maize,1979,7794
Maize,1980,6579
Maize,1981,6875
Maize,1982,6809
Maize,1983,6204
Maize,1984,3524
Maize,1985,3387
Maize,1986,6565
Maize,1987,5548
Maize,1988,5120
Maize,1989,7080
Maize,1990,3139
Maize,1991,6629
Maize,1992,20000
Maize,1993,40000
Maize,1994,8309
Maize,1995,12642
Maize,1996,7250
Maize,1997,10269
Maize,1998,15173
Maize,1999,3242
Maize,2000,6154
Maize,2001,2612
Maize,2002,5853
Maize,2003,5085
Maize,2004,7509
Maize,2005,8255
Maize,2006,11227
Maize,2007,10874
Maize,2008,9589
Maize,2009,9014
Maize,2010,7869
Maize,2011,8405
Maize,2012,10437
Maize,2013,12326
Maize,2014,17602
Maize,2015,12229
Maize,2016,12177
Potatoes,1977,143500
Potatoes,1978,150000
Potatoes,1979,150000
Potatoes,1980,133333
Potatoes,1981,100000
Potatoes,1982,100000
Potatoes,1983,100000
Potatoes,1984,100000
Potatoes,1985,100000
Potatoes,1986,100000
Potatoes,1987,100000
Potatoes,1988,100000
Potatoes,1989,100000
Potatoes,1990,100000
Potatoes,1991,204348
Potatoes,1992,267308
Potatoes,1993,224600
Potatoes,1994,206531
Potatoes,1995,170789
Potatoes,1996,159195
Potatoes,1997,124128
Potatoes,1998,169913
Potatoes,1999,101200
Potatoes,2000,104924
Potatoes,2001,91045
Potatoes,2002,159220
Potatoes,2003,46929
Potatoes,2004,104545
Potatoes,2005,102308
Potatoes,2006,115357
Potatoes,2007,147395
Potatoes,2008,177412
Potatoes,2009,172504
Potatoes,2010,170183
Potatoes,2011,161890
Potatoes,2012,242957
Potatoes,2013,256815
Potatoes,2014,276043
Potatoes,2015,285957
Potatoes,2016,288323
Rice,1961,10431
Rice,1962,12283
Rice,1963,10722
Rice,1964,12596
Rice,1965,13453
Rice,1966,22283
Rice,1967,28263
Rice,1968,25527
Rice,1969,24540
Rice,1970,22622
Rice,1971,15956
Rice,1972,18505
Rice,1973,26053
Rice,1974,20375
Rice,1975,17047
Rice,1976,13226
Rice,1977,11565
Rice,1978,12441
Rice,1979,12172
Rice,1980,14876
Rice,1981,18792
Rice,1982,20396
Rice,1983,20180
Rice,1984,25233
Rice,1985,27524
Rice,1986,27283
Rice,1987,24498
Rice,1988,30057
Rice,1989,34147
Rice,1990,31432
Rice,1991,35605
Rice,1992,32828
Rice,1993,26233
Rice,1994,22143
Rice,1995,24286
Rice,1996,16254
Rice,1997,20244
Rice,1998,29100
Rice,1999,41112
Rice,2000,27479
Rice,2001,27565
Rice,2002,31638
Rice,2003,31042
Rice,2004,30949
Rice,2005,38290
Rice,2006,36637
Rice,2007,35900
Rice,2008,38110
Rice,2009,43571
Rice,2010,54407
Rice,2011,54739
Rice,2012,57490
Rice,2013,62834
Rice,2014,61350
Rice,2015,44383
Rice,2016,26372
Sorghum,1961,6074
Sorghum,1962,6912
Sorghum,1963,7258
Sorghum,1964,6963
Sorghum,1965,5712
Sorghum,1966,5078
Sorghum,1967,6453
Sorghum,1968,3611
Sorghum,1969,4862
Sorghum,1970,3881
Sorghum,1971,4606
Sorghum,1972,3677
Sorghum,1973,2816
Sorghum,1974,3996
Sorghum,1975,3209
Sorghum,1976,4656
Sorghum,1977,4669
Sorghum,1978,4664
Sorghum,1979,4895
Sorghum,1980,4788
Sorghum,1981,3274
Sorghum,1982,3162
Sorghum,1983,3210
Sorghum,1984,2153
Sorghum,1985,2882
Sorghum,1986,3293
Sorghum,1987,2726
Sorghum,1988,3798
Sorghum,1989,2608
Sorghum,1990,1257
Sorghum,1991,1449
